Base,ClimateID, WeatherID,jday,date,Hour,Srad,temperature,rain,wind,RH,CO2
BARC,BARC,FSP,126,05/06/2005,22,0,9.33,0,1.35,75.1,379
BARC,BARC,FSP,126,05/06/2005,23,0,9.08,0,1.37,76.8,379
BARC,BARC,FSP,127,05/07/2005,0,0,8.7,0,1.78,78.6,379
BARC,BARC,FSP,127,05/07/2005,1,0,7.48,0,2.04,83.9,379
BARC,BARC,FSP,127,05/07/2005,2,0,6.59,0,2.1,87.4,379
BARC,BARC,FSP,127,05/07/2005,3,0,6.59,0,2.49,86.5,379
BARC,BARC,FSP,127,05/07/2005,4,0,6.42,0,2.15,86.5,379
BARC,BARC,FSP,127,05/07/2005,5,0.0018,5.9,0,1.86,87.8,379
BARC,BARC,FSP,127,05/07/2005,6,0.0855,5.28,0,1.56,90.4,379
BARC,BARC,FSP,127,05/07/2005,7,0.6255,7.54,0,1.9,83.8,379
BARC,BARC,FSP,127,05/07/2005,8,1.5246,10.9,0,3.16,70.7,379
BARC,BARC,FSP,127,05/07/2005,9,2.1618,13.2,0,3.99,64,379
BARC,BARC,FSP,127,05/07/2005,10,2.6892,15.375,0,4.05,55.6,379
BARC,BARC,FSP,127,05/07/2005,11,3.0465,17,0,3.71,51.4,379
BARC,BARC,FSP,127,05/07/2005,12,3.2238,18.1,0,3.78,48.3,379
BARC,BARC,FSP,127,05/07/2005,13,3.1464,19.2,0,3.95,47.1,379
BARC,BARC,FSP,127,05/07/2005,14,2.9079,20.1,0,3.52,46.9,379
BARC,BARC,FSP,127,05/07/2005,15,1.7352,20.3,0,4.51,46.9,379
BARC,BARC,FSP,127,05/07/2005,16,1.3338,20.4,0,4.64,45.6,379
BARC,BARC,FSP,127,05/07/2005,17,0.7524,19.9,0,4.02,47.8,379
BARC,BARC,FSP,127,05/07/2005,18,0.6444,19.3,0,4.62,50.1,379
BARC,BARC,FSP,127,05/07/2005,19,0.1422,17.5,0,3.64,58.1,379
BARC,BARC,FSP,127,05/07/2005,20,0.0009,16.5,0,2.41,65.3,379
BARC,BARC,FSP,127,05/07/2005,21,0,16.1,0,2.73,68.9,379
BARC,BARC,FSP,127,05/07/2005,22,0,15.8,0,2.63,70.2,379
BARC,BARC,FSP,127,05/07/2005,23,0,14.7,0,2.79,72.875,379
BARC,BARC,FSP,128,05/08/2005,0,0,13.8,0,2.5,73.9,379
BARC,BARC,FSP,128,05/08/2005,1,0,13.2,0,2.46,68.7,379
BARC,BARC,FSP,128,05/08/2005,2,0,12.6875,0,2.74,60.3,379
BARC,BARC,FSP,128,05/08/2005,3,0,12.8,0,3,55.8,379
BARC,BARC,FSP,128,05/08/2005,4,0,12.6,0,3.57,52.3,379
BARC,BARC,FSP,128,05/08/2005,5,0.0045,11.7,0,2.22,54.6,379
BARC,BARC,FSP,128,05/08/2005,6,0.2727,11.4,0,2.5,57.4,379
BARC,BARC,FSP,128,05/08/2005,7,0.675,13.8,0,4.41,50.2,379
BARC,BARC,FSP,128,05/08/2005,8,1.5462,15.8,0,5.97,44.6,379
BARC,BARC,FSP,128,05/08/2005,9,2.178,17.3,0,6.96,42.8,379
BARC,BARC,FSP,128,05/08/2005,10,2.6847,18.5,0,7.67,39.9,379
BARC,BARC,FSP,128,05/08/2005,11,3.0663,19.6,0,6.82,37.9,379
BARC,BARC,FSP,128,05/08/2005,12,3.2499,20.6,0,6.35,36.5,379
BARC,BARC,FSP,128,05/08/2005,13,3.2436,21.6,0,6.49,35.1,379
BARC,BARC,FSP,128,05/08/2005,14,3.0348,22.5,0,5.4,35,379
BARC,BARC,FSP,128,05/08/2005,15,2.6748,23.3,0,5.86,32.9,379
BARC,BARC,FSP,128,05/08/2005,16,2.16,23.9,0,6.33,29.7,379
BARC,BARC,FSP,128,05/08/2005,17,1.5309,24.2,0,4.81,29,379
BARC,BARC,FSP,128,05/08/2005,18,0.8604,23.9,0,4.3,28.5,379
BARC,BARC,FSP,128,05/08/2005,19,0.2178,22.4,0,2.24,31.6,379
BARC,BARC,FSP,128,05/08/2005,20,0.0018,19.8,0,0.57,37.9,379
BARC,BARC,FSP,128,05/08/2005,21,0,17.9,0,0.52,44.3,379
BARC,BARC,FSP,128,05/08/2005,22,0,16.9,0,0.96,47.2,379
BARC,BARC,FSP,128,05/08/2005,23,0,16,0,0.39,51.5,379
BARC,BARC,FSP,129,05/09/2005,0,0,12,0,0.086,72.5,379
